ID;Name;Club;CA;Age;Nati;Position;Division
13954;Fernando Beltrán;Chivas;128;25;MEX;DM, M (C);Mexican First Division
13955;Heriberto Jurado;Necaxa;99;18;MEX;AM (L);Mexican First Division
13957;Luis Olivas;Mazatlán;116;23;MEX;D (C);Mexican First Division
13958;Ángel Sepúlveda;Cruz Azul;123;32;MEX;AM (RL), ST (C);Mexican First Division
13959;Cristian Calderón;América;120;26;MEX;D/WB (L);Mexican First Division
13870;Mateo Klimowicz;At. San Luis;112;22;GER;M/AM (LC);Mexican First Division
13838;Alejandro Zendejas;América;133;25;USA;M (LC), AM (RL);Mexican First Division
13877;Brandon Vázquez;Monterrey;118;24;USA;AM (R), ST (C);Mexican First Division
13937;Joe Corona;Tijuana;102;32;USA;M (RLC);Mexican First Division
13940;Cade Cowell;Chivas;113;19;USA;AM (RL), ST (C);Mexican First Division
13829;Jordy Caicedo;Atlas;120;25;ECU;AM (R), ST (C);Mexican First Division
13831;Ángel Mena;León;135;35;ECU;M (R), AM (RL);Mexican First Division
13869;Pedro Aquino;Santos Laguna;129;28;PER;DM, M (C);Mexican First Division
13951;Santiago Ormeño;Puebla;115;29;PER;ST (C);Mexican First Division
13901;Lucas Cavallini;Puebla;126;30;CAN;ST (C);Mexican First Division
13830;Dória;Santos Laguna;136;28;BRA;D (C);Mexican First Division
13835;Samir;Tigres;136;28;BRA;D (LC);Mexican First Division
13897;Rafael Carioca;Tigres;137;34;BRA;DM, M (C);Mexican First Division
13904;Léo Bonatini;At. San Luis;123;29;BRA;ST (C);Mexican First Division
13926;Rodrigo Dourado;At. San Luis;128;29;BRA;DM, M (C);Mexican First Division
13867;Celso Ortiz;Pachuca;130;34;PAR;DM, M (LC);Mexican First Division
13898;Luis Amarilla;Mazatlán;127;27;PAR;ST (C);Mexican First Division
13899;Carlos González;Tijuana;129;30;PAR;ST (C);Mexican First Division
13900;Richard Sánchez;América;134;27;PAR;DM, M (C);Mexican First Division
13956;Juan Escobar;Toluca;132;27;PAR;D (RC);Mexican First Division
13819;Salomón Rondón;Pachuca;118;33;VEN;ST (C);Mexican First Division
13902;Jhon Murillo;Atlas;123;27;VEN;AM (RL), ST (C);Mexican First Division
13945;Samuel Sosa;Querétaro;114;23;VEN;M/AM (L);Mexican First Division
13817;Francisco Calvo;FC Juárez;125;30;CRC;D (C);Mexican First Division
13828;Sebastián Vegas;Monterrey;133;26;CHI;D (LC);Mexican First Division
13839;Joaquín Montecinos;Querétaro;125;27;CHI;M (R), AM (RL);Mexican First Division
13856;Diego Valdés;América;131;29;CHI;AM (C);Mexican First Division
13866;Claudio Baeza;Toluca;131;29;CHI;D (C), DM, M (C);Mexican First Division
13887;Igor Lichnovsky;América;124;29;CHI;D (C);Mexican First Division
13918;Nicolás Díaz;Tijuana;120;24;CHI;D (LC);Mexican First Division
13824;Javairo Dilrosun;América;127;25;NED;M/AM (RL);Mexican First Division
13878;Yoel Bárcenas;Mazatlán;120;29;PAN;WB (R), AM (RLC);Mexican First Division
13836;Oussama Idrissi;Pachuca;133;27;MAR;M/AM (RL);Mexican First Division
13868;Franck Boli;At. San Luis;125;29;CIV;ST (C);Mexican First Division
13851;Andrija Vukčević;FC Juárez;110;26;MNE;D/WB/M (L);Mexican First Division
13889;Gibrán Lajud;Santos Laguna;115;29;LIB;GK;Mexican First Division
13930;Rubio Rubin;Querétaro;118;27;GUA;AM (RLC), ST (C);Mexican First Division
13971;Emiliano Amor;Colo Colo;117;28;ARG;D (C);Chilean First Division
13973;Fernando Zampedri;Univ. Católica;126;35;ARG;ST (C);Chilean First Division
13974;Leandro Fernández;Univ. de Chile;121;32;ARG;ST (C);Chilean First Division
13980;Emmanuel Ojeda;Univ. de Chile;117;25;ARG;DM, M (C);Chilean First Division
13987;Federico Mateos;Univ. de Chile;115;30;ARG;M/AM (C);Chilean First Division
13988;Lautaro Palacios;Audax;116;28;ARG;ST (C);Chilean First Division
13989;Dylan Glaby;Coquimbo;115;27;ARG;D (RC), M/AM (R);Chilean First Division
13990;Jonathan Benítez;Palestino;115;31;ARG;M (L), AM (RL);Chilean First Division
14001;César Rigamonti;Palestino;113;36;ARG;GK;Chilean First Division
14005;Gastón Lezcano;Cobresal;113;36;ARG;AM (RL);Chilean First Division
14015;Leandro Requena;Cobresal;112;35;ARG;GK;Chilean First Division
14019;Joaquín Larrivey;Magallanes;112;38;ARG;ST (C);Chilean First Division
14031;Alejandro Camargo;Coquimbo;111;34;ARG;DM, M (C);Chilean First Division
14033;Agustín Farías;Univ. Católica;110;35;ARG;DM, M (C);Chilean First Division
14036;Gonzalo Ríos;Audax;110;24;ARG;AM (LC);Chilean First Division
14038;Gonzalo Sosa;Palestino;110;34;ARG;ST (C);Chilean First Division
14047;Leandro Benegas;Colo Colo;109;34;ARG;ST (C);Chilean First Division
14051;Tobías Figueroa;D. Copiapó;109;31;ARG;ST (C);Chilean First Division
14053;Ramiro González;Colo Colo;108;32;ARG;D (C);Chilean First Division
14056;Renzo Malanca;Huachipato;108;20;ARG;D (C);Chilean First Division
14063;Juan Jaime;D. Copiapó;107;30;ARG;DM, M (C);Chilean First Division
14067;Matías Moya;Colo Colo;107;25;ARG;M/AM (C);Chilean First Division
14080;Maximiliano Quinteros;D. Copiapó;106;34;ARG;AM (C), ST (C);Chilean First Division
14091;Julián Brea;Huachipato;103;23;ARG;M/AM (L), ST (C);Chilean First Division
14093;Franco García;Cobresal;104;26;ARG;AM (R), ST (C);Chilean First Division
14113;Sebastián Sáez;Huachipato;101;38;ARG;ST (C);Chilean First Division
14124;Emiliano Vecchio;U. Española;128;34;ARG;M/AM (C);Chilean First Division
14135;Nicolás Peranic;O'Higgins;100;38;ARG;GK;Chilean First Division
14136;Jorge Luna;D. Copiapó;100;36;ARG;AM (C);Chilean First Division
14140;Bruno Cabrera;Coquimbo;98;26;ARG;D (C);Chilean First Division
14155;Matías Ballini;Curicó Unido;105;34;ARG;DM, M (C);Chilean First Division
14160;Salvador Sánchez;Coquimbo;95;27;ARG;D (C);Chilean First Division
14167;Oscar Ustari;Audax;126;37;ARG;GK;Chilean First Division
14175;David Escalante;Curicó Unido;103;32;ARG;ST (C);Chilean First Division
14176;Leandro Navarro;Cobresal;103;31;ARG;DM, M (C);Chilean First Division
14204;Ismael Sosa;Ñublense;124;36;ARG;AM (RL), ST (C);Chilean First Division
14226;Luciano Aued;La Calera;116;36;ARG;DM, M (C);Chilean First Division
14253;Leonel Mosevich;O'Higgins;118;26;ARG;D (RC);Chilean First Division
14255;Braian Martínez;Everton;119;23;ARG;M/AM (L);Chilean First Division
14256;Pablo Palacio;Palestino;113;23;ARG;M/AM (R);Chilean First Division
14257;Franco Frías;U. Española;104;21;ARG;AM (RL), ST (C);Chilean First Division
14258;Franco Vega;Huachipato;105;21;ARG;M (C);Chilean First Division
14259;Jonathan Raccio;Coquimbo;90;18;ARG;AM (C);Chilean First Division
13977;Franco Torgnascioli;U. Española;118;32;URU;GK;Chilean First Division
13981;Gonzalo Montes;Huachipato;117;28;URU;DM, M/AM (C);Chilean First Division
13994;Federico Martínez;Everton;123;27;URU;AM (RL), ST (C);Chilean First Division
13995;Maximiliano Falcón;Colo Colo;114;26;URU;D (C);Chilean First Division
14014;Diego Coelho;Cobresal;112;28;URU;ST (C);Chilean First Division
14024;Gary Kagelmacher;Univ. Católica;117;35;URU;D (RC);Chilean First Division
14032;Manuel Fernández;Coquimbo;105;34;URU;D (C);Chilean First Division
14097;Cristian Palacios;Univ. de Chile;102;32;URU;ST (C);Chilean First Division
14168;Leonardo Pais;D. Copiapó;116;28;URU;WB/M/AM (R);Chilean First Division
14209;Kevin Méndez;Everton;110;27;URU;AM (RLC), ST (C);Chilean First Division
13963;Darío Lezcano;Colo Colo;118;33;PAR;ST (C);Chilean First Division
14022;Cris Martínez;Huachipato;111;30;PAR;AM (RL), ST (C);Chilean First Division
14125;Arnaldo Castillo;O'Higgins;99;26;PAR;ST (C);Chilean First Division
14254;Junior Marabel;Palestino;114;25;PAR;ST (C);Chilean First Division
13960;Eugenio Mena;Univ. Católica;133;34;CHI;D/WB/M/AM (L);Chilean First Division
13961;Arturo Vidal;Colo Colo;130;36;CHI;DM, M/AM (C);Chilean First Division
13962;Marcelo Díaz;Univ. de Chile;123;36;CHI;DM, M (C);Chilean First Division
13964;Esteban Pavez;Colo Colo;123;33;CHI;DM;Chilean First Division
13965;Alexander Aravena;Univ. Católica;123;20;CHI;AM (RL), ST (C);Chilean First Division
13966;Vicente Pizarro;Colo Colo;120;20;CHI;DM, M (C);Chilean First Division
13967;Leonardo Gil;Colo Colo;119;32;CHI;DM, M/AM (C);Chilean First Division
13968;Ignacio González;Everton;122;33;CHI;GK;Chilean First Division
13969;Óscar Opazo;Colo Colo;119;32;CHI;D/WB (RL);Chilean First Division
13970;César Pinares;Univ. Católica;121;32;CHI;M (LC), AM (RLC);Chilean First Division
13972;Brayan Cortés;Colo Colo;125;28;CHI;GK;Chilean First Division
13975;Lorenzo Reyes;Ñublense;118;32;CHI;DM, M (C);Chilean First Division
13976;Nicolás Ramírez;Huachipato;118;26;CHI;D (C);Chilean First Division
13978;César Fuentes;Colo Colo;118;30;CHI;DM, M (C);Chilean First Division
13979;Carlos Palacios;Colo Colo;118;22;CHI;AM (RLC);Chilean First Division
13982;Sebastián Pérez;Univ. Católica;117;32;CHI;GK;Chilean First Division
13983;Claudio Sepúlveda;Huachipato;117;31;CHI;D (R), DM, M (C);Chilean First Division
13984;Misael Dávila;Palestino;117;31;CHI;WB (L), M (LC), AM (L);Chilean First Division
13985;Luis Pavez Muñoz;U. Española;113;27;CHI;D/WB (L);Chilean First Division
13986;Franco Bechtholdt;Cobresal;117;29;CHI;D (C), DM;Chilean First Division
13991;Bryan Carrasco;Palestino;115;32;CHI;M/AM (RL);Chilean First Division
13992;Fernando de Paul;Colo Colo;122;32;CHI;GK;Chilean First Division
13993;Branco Ampuero;Univ. Católica;117;29;CHI;D (RC);Chilean First Division
13996;Joe Abrigo;Palestino;113;28;CHI;AM (LC), ST (C);Chilean First Division
13997;Osvaldo Bosso;Ñublense;114;29;CHI;D (RC), DM;Chilean First Division
13998;Gabriel Castellón;Univ. de Chile;114;29;CHI;GK;Chilean First Division
13999;Cristopher Toselli;Univ. de Chile;112;35;CHI;GK;Chilean First Division
14000;Alfonso Parot;Univ. Católica;113;33;CHI;D (LC);Chilean First Division
14002;Miguel Pinto;Coquimbo;108;39;CHI;GK;Chilean First Division
14003;Dilan Zúñiga;Palestino;113;26;CHI;D/WB (RL);Chilean First Division
14004;Leonardo Valencia;Cobresal;111;32;CHI;AM (LC);Chilean First Division
14006;Erick Wiemberg;Colo Colo;113;29;CHI;D (LC), WB (L);Chilean First Division
14007;Brayan Véjar;Palestino;113;27;CHI;D/WB/M (RL);Chilean First Division
14008;Benjamín Berríos;Everton;113;25;CHI;DM, M (C);Chilean First Division
14009;Jorge Henríquez;Coquimbo;113;29;CHI;M/AM (C);Chilean First Division
14010;Marco Bolados;Colo Colo;113;27;CHI;AM (RL);Chilean First Division
14011;Raimundo Rebolledo;La Calera;112;26;CHI;D (RL);Chilean First Division
14012;César Pérez;La Calera;112;20;CHI;DM, M (C);Chilean First Division
14013;Carlos Labrín;Ñublense;112;32;CHI;D (RC);Chilean First Division
14016;Bryan Carvallo;U. Española;112;26;CHI;AM (RLC);Chilean First Division
14017;Nicolás Orellana;Audax;112;27;CHI;AM (L), ST (C);Chilean First Division
14018;Israel Poblete;Univ. de Chile;115;28;CHI;M (RLC), AM (RL);Chilean First Division
14020;Gonzalo Jara;Coquimbo;91;37;CHI;D (C);Chilean First Division
14021;Damián Pizarro;Colo Colo;102;18;CHI;ST (C);Chilean First Division
14023;Carlos Villanueva;Audax;104;37;CHI;M/AM (C);Chilean First Division
14025;Daniel González;Univ. Católica;111;21;CHI;D (C);Chilean First Division
14026;Bastián Yáñez;U. Española;111;22;CHI;AM (LC);Chilean First Division
14027;Felipe Loyola;Huachipato;110;22;CHI;D (C), DM;Chilean First Division
14028;Fabián Hormazábal;Univ. de Chile;110;27;CHI;D/WB/M (R);Chilean First Division
14029;Alvaro Madrid;Everton;111;28;CHI;DM, M (C);Chilean First Division
14030;Yerko Leiva;Curicó Unido;111;25;CHI;M/AM (C);Chilean First Division
14034;Jimmy Martínez;Huachipato;106;26;CHI;DM, M (RC);Chilean First Division
14035;Diego Carrasco;D. Copiapó;110;28;CHI;D (LC);Chilean First Division
14037;Guillermo Pacheco;Cobresal;110;34;CHI;D/WB/M (R);Chilean First Division
14039;Michael Fuentes;Palestino;110;25;CHI;AM (RL), ST (C);Chilean First Division
14040;Sebastián Pereira;Everton;110;24;CHI;D (C);Chilean First Division
14041;Leandro Díaz;Huachipato;109;24;CHI;D/WB (L);Chilean First Division
14042;Esteban Valencia;La Calera;109;23;CHI;WB (R), DM, M (RC);Chilean First Division
14043;Matías Cavalleri;La Calera;109;25;CHI;M/AM (RL);Chilean First Division
14044;Nicolás Peñailillo;U. Española;109;32;CHI;D/WB/M (L);Chilean First Division
14045;Clemente Montes;Univ. Católica;109;22;CHI;AM (RL), ST (C);Chilean First Division
14046;Bernardo Cerezo;Ñublense;109;28;CHI;D (R), DM;Chilean First Division
14048;Fabián Torres;Audax;109;34;CHI;D (LC);Chilean First Division
14049;Bayron Oyarzo;Ñublense;109;27;CHI;AM (RL);Chilean First Division
14050;Gonzalo Álvarez;Audax;109;26;CHI;M (L), AM (RLC), ST (C);Chilean First Division
14052;Matías Zaldivia;Univ. de Chile;108;32;CHI;D (C);Chilean First Division
14054;Ariel Martínez;Palestino;108;29;CHI;DM, M (C);Chilean First Division
14055;Omar Carabalí;Colo Colo;108;26;CHI;GK;Chilean First Division
14057;Sebastián Leyton;U. Española;108;30;CHI;M (RC);Chilean First Division
14058;Marcelo Jorquera;Cobresal;108;30;CHI;D/WB/M (L);Chilean First Division
14059;Sebastián Cabrera;Coquimbo;108;25;CHI;D/WB (L);Chilean First Division
14060;Simón Ramírez;U. Española;108;24;CHI;D/WB (R);Chilean First Division
14061;Patricio Rubio;Ñublense;111;34;CHI;AM (RL), ST (C);Chilean First Division
14062;Joaquín Gutiérrez;Huachipato;108;20;CHI;D (R);Chilean First Division
14064;Manuel Rivera;Ñublense;107;27;CHI;DM, M (C);Chilean First Division
14065;Juan Pablo Gómez;Univ. de Chile;105;32;CHI;D/WB/M (R);Chilean First Division
14066;Diego Oyarzún;Everton;106;30;CHI;D (C);Chilean First Division
14068;Lucas Assadi;Univ. de Chile;112;19;CHI;AM (LC);Chilean First Division
14069;Cristián Zavala;Colo Colo;107;23;CHI;M (R), AM (RL);Chilean First Division
14070;César Munder;Cobresal;107;23;CHI;M (L), AM (RL);Chilean First Division
14071;Diego Sánchez;Coquimbo;107;36;CHI;GK;Chilean First Division
14072;Nicolás Guerra;Univ. de Chile;105;24;CHI;AM (R), ST (C);Chilean First Division
14073;Thomas Rodríguez;Audax;105;27;CHI;M/AM (R);Chilean First Division
14074;Jeyson Rojas;Colo Colo;105;21;CHI;D (RC);Chilean First Division
14075;Juan Fuentes;O'Higgins;106;28;CHI;D (C), DM;Chilean First Division
14076;Benjamín Gazzolo;Huachipato;106;25;CHI;D (C);Chilean First Division
14077;José Bizama;Palestino;104;29;CHI;D (RC);Chilean First Division
14078;Marco Collao;Audax;108;25;CHI;M/AM (C);Chilean First Division
14079;Jovany Campusano;Ñublense;105;30;CHI;D/WB/M (L);Chilean First Division
14081;Yerco Oyanedel;D. Copiapó;105;22;CHI;D/WB (L);Chilean First Division
14082;Jonathan Villagra;U. Española;106;22;CHI;D (C);Chilean First Division
14083;Byron Nieto;D. Copiapó;106;25;CHI;D/WB/M (R);Chilean First Division
14084;Matías Campos López;Everton;105;31;CHI;ST (C);Chilean First Division
14085;Ignacio Tapia;Univ. de Chile;103;24;CHI;D (C);Chilean First Division
14086;Stefano Magnasco;U. Española;104;30;CHI;D/WB (R);Chilean First Division
14087;Tomás Asta-Buruaga;Everton;104;26;CHI;D (C);Chilean First Division
14088;Fernando Cornejo;Palestino;104;27;CHI;DM, M (RC);Chilean First Division
14089;Jorge Ortiz;Univ. Católica;106;19;CHI;AM (RL);Chilean First Division
14090;Cristián Suárez;Palestino;103;36;CHI;D (C);Chilean First Division
14092;Camilo Moya;O'Higgins;105;25;CHI;DM, M (C);Chilean First Division
14094;Cristhofer Mesías;Cobresal;104;25;CHI;D (L), DM, M (C);Chilean First Division
14095;Tomás Ahumada;Audax;104;21;CHI;GK;Chilean First Division
14096;John Salas;Curicó Unido;103;26;CHI;D/WB (R);Chilean First Division
14098;Franco Lobos;Cobresal;103;24;CHI;AM (RL), ST (C);Chilean First Division
14099;Tomás Aránguiz;Magallanes;103;26;CHI;M (C);Chilean First Division
14100;Felipe Reynero;D. Copiapó;103;34;CHI;M/AM (RL), ST (C);Chilean First Division
14101;Antonio Castillo;Huachipato;105;24;CHI;D (L), M (C);Chilean First Division
14102;Sebastián Galani;Coquimbo;102;25;CHI;DM, M (C);Chilean First Division
14103;Ariel Uribe;U. Española;102;24;CHI;M (L), AM (RLC);Chilean First Division
14104;Pedro Sánchez;Ñublense;102;25;CHI;AM (LC), ST (C);Chilean First Division
14105;Carlos Lobos;Huachipato;102;26;CHI;DM, M (C);Chilean First Division
14106;Valentin Vidal;U. Española;103;19;CHI;D (C);Chilean First Division
14107;Zacarías López;Huachipato;112;25;CHI;GK;Chilean First Division
14108;Nicolás Baeza;Everton;102;26;CHI;D/WB/M (L);Chilean First Division
14109;Nelson Sepúlveda;Cobresal;102;31;CHI;M/AM (RC);Chilean First Division
14110;Marco Medel;D. Copiapó;102;34;CHI;M (LC), AM (C);Chilean First Division
14111;Francisco Salinas;Coquimbo;103;23;CHI;D (R);Chilean First Division
14112;Cristopher Medina;Ñublense;102;22;CHI;D/WB/M (R);Chilean First Division
14114;Richard Leyton;D. Copiapó;101;36;CHI;GK;Chilean First Division
14115;Cristián Díaz;Everton;101;23;CHI;D (LC);Chilean First Division
14116;Matías Ormazábal;Curicó Unido;101;24;CHI;D (RC);Chilean First Division
14117;Cristopher Barrera;Coquimbo;101;25;CHI;D/WB/M (R);Chilean First Division
14118;Nelson Espinoza;D. Copiapó;101;27;CHI;GK;Chilean First Division
14119;Bruno Romo;D. Copiapó;101;34;CHI;D (C);Chilean First Division
14120;Gonzalo Tapia;Univ. Católica;101;21;CHI;AM (RL), ST (C);Chilean First Division
14121;Diego Urzúa;Curicó Unido;100;26;CHI;DM, M (C);Chilean First Division
14122;Maximiliano Rodríguez;Huachipato;100;23;CHI;ST (C);Chilean First Division
14123;Oliver Rojas;Audax;98;23;CHI;D (R), DM;Chilean First Division
14126;Jeisson Vargas;Huachipato;99;25;CHI;AM (RLC), ST (C);Chilean First Division
14127;José Tiznado;U. Española;100;28;CHI;D (RC);Chilean First Division
14128;Nicolás Mancilla;Magallanes;100;29;CHI;D (RC);Chilean First Division
14129;Claudio González;Everton;100;33;CHI;GK;Chilean First Division
14130;Isaac Díaz;D. Copiapó;100;33;CHI;ST (C);Chilean First Division
14131;Antonio Ceza;Palestino;100;20;CHI;D (C);Chilean First Division
14132;Bryan Rabello;O'Higgins;100;29;CHI;AM (RLC);Chilean First Division
14133;Rafael Caroca;Ñublense;104;33;CHI;DM, M (C);Chilean First Division
14134;Luis Santelices;Curicó Unido;100;37;CHI;GK;Chilean First Division
14137;Juan Carlos Gaete;D. Copiapó;108;26;CHI;AM (RL);Chilean First Division
14138;Brian Torrealba;O'Higgins;98;25;CHI;D (RC), DM;Chilean First Division
14139;Diego García;D. Copiapó;103;26;CHI;D (C);Chilean First Division
14141;Ignacio Núñez;U. Española;98;24;CHI;M/AM (C);Chilean First Division
14142;Marcelo Filla;Cobresal;99;25;CHI;D/WB (R);Chilean First Division
14143;Juan Cornejo;Coquimbo;99;33;CHI;D (LC), WB (L);Chilean First Division
14144;Luciano Cabral;Coquimbo;103;29;CHI;AM (RC);Chilean First Division
14145;Dylan Escobar;Coquimbo;98;22;CHI;D (C), DM;Chilean First Division
14146;Francisco Alarcón;Cobresal;98;33;CHI;D (C), DM;Chilean First Division
14147;Cristián Toro;Cobresal;98;22;CHI;D (C);Chilean First Division
14148;Agustín Ortiz;D. Copiapó;97;24;CHI;D (C);Chilean First Division
14149;Moisés González;O'Higgins;97;22;CHI;D (RC);Chilean First Division
14150;Felipe Yáñez;Colo Colo;98;18;CHI;D (L);Chilean First Division
14151;Carlo Villanueva;Huachipato;97;24;CHI;M/AM (C);Chilean First Division
14152;Mitchell Wassenne;Everton;98;22;CHI;AM (RL);Chilean First Division
14153;Marcelo Morales;Univ. de Chile;97;20;CHI;D/WB (L);Chilean First Division
14154;Guillermo Orellana;Coquimbo;95;36;CHI;GK;Chilean First Division
14156;Claudio Torres;Huachipato;95;20;CHI;AM (RL);Chilean First Division
14157;Esteban Matus;Audax;94;21;CHI;D/WB (L);Chilean First Division
14158;Renato Huerta;Univ. de Chile;95;19;CHI;AM (RL);Chilean First Division
14159;Simón Contreras;O'Higgins;96;21;CHI;M/AM (R), ST (C);Chilean First Division
14161;Cristián Riquelme;Everton;96;19;CHI;D/WB/M (L);Chilean First Division
14162;Bryan Soto;Colo Colo;95;22;CHI;DM, M (C);Chilean First Division
14163;Julián Alfaro;Magallanes;95;22;CHI;AM (RL);Chilean First Division
14164;Diego Céspedes;Cobresal;95;24;CHI;D (C);Chilean First Division
14165;Gabriel Harding;Curicó Unido;96;22;CHI;ST (C);Chilean First Division
14166;Nicolás Vargas;D. Copiapó;102;29;CHI;D (RLC), DM;Chilean First Division
14169;Nicolás Rivera;Coquimbo;95;25;CHI;M/AM (L);Chilean First Division
14170;Benjamín Osses;Cobresal;92;21;CHI;AM (RL), ST (C);Chilean First Division
14171;Alexander Oroz;Colo Colo;94;20;CHI;AM (RL), ST (C);Chilean First Division
14172;Rodrigo González;Magallanes;104;27;CHI;D/WB/M (R);Chilean First Division
14173;Vicente Conelli;U. Española;94;20;CHI;ST (C);Chilean First Division
14174;Claudio Meneses;Curicó Unido;103;35;CHI;D (RLC), DM;Chilean First Division
14177;Gabriel Norambuena;U. Española;93;20;CHI;AM (RL);Chilean First Division
14178;Julio Castro;Cobresal;93;26;CHI;ST (C);Chilean First Division
14179;Ignacio Jara;Colo Colo;103;26;CHI;AM (RC);Chilean First Division
14180;Felipe Barrientos;Cobresal;92;26;CHI;M/AM (R);Chilean First Division
14181;Cristóbal Castillo;O'Higgins;92;20;CHI;DM, M (C);Chilean First Division
14182;Benjamín Chandía;Coquimbo;92;20;CHI;AM (L);Chilean First Division
14183;Joaquín González;Curicó Unido;92;21;CHI;AM (R), ST (C);Chilean First Division
14184;Diego Acevedo;U. Española;92;22;CHI;M/AM (R);Chilean First Division
14185;Juan Echave;U. Española;92;22;CHI;GK;Chilean First Division
14186;Daniel Gutiérrez;Colo Colo;91;20;CHI;D (C);Chilean First Division
14187;Ignacio Mesina;Coquimbo;91;22;CHI;D (RC);Chilean First Division
14188;Jeison Fuentealba;Univ. de Chile;91;20;CHI;M/AM (C);Chilean First Division
14189;Felipe Gaete;D. Copiapó;91;27;CHI;D (R), M (C);Chilean First Division
14190;Andrés Segovia;U. Española;91;25;CHI;D/M (L);Chilean First Division
14191;Luis Vásquez;Cobresal;90;21;CHI;AM (LC);Chilean First Division
14192;José Castro;Univ. de Chile;90;21;CHI;D/M (L);Chilean First Division
14193;Maximiliano Guerrero;Univ. de Chile;100;23;CHI;WB (R), M (RC), AM (R);Chilean First Division
14194;Esteban Moreira;O'Higgins;90;21;CHI;ST (C);Chilean First Division
14195;Alex Valdes;Ñublense;90;20;CHI;AM (R), ST (C);Chilean First Division
14196;Vicente Vega;Everton;90;19;CHI;D (LC);Chilean First Division
14197;Kevin Harbottle;Curicó Unido;99;33;CHI;AM (RLC), ST (C);Chilean First Division
14198;Martín Parra;Huachipato;90;22;CHI;GK;Chilean First Division
14199;Diego Monreal;Audax;96;20;CHI;D (C);Chilean First Division
14200;Nicolás Aedo;Audax;91;22;CHI;AM (RLC);Chilean First Division
14201;Alejandro Henríquez;Everton;90;22;CHI;D (L);Chilean First Division
14202;Alfred Canales;Univ. Católica;89;23;CHI;D (C), DM, M (C);Chilean First Division
14203;Martín Maturana;O'Higgins;90;19;CHI;M/AM (C);Chilean First Division
14205;Alessandro Riep;Audax;89;20;CHI;AM (RC);Chilean First Division
14206;Jeremy Silva;U. Española;88;22;CHI;AM (RC);Chilean First Division
14207;Juan Méndez;Curicó Unido;99;27;CHI;DM, M (C);Chilean First Division
14208;Maicol León;Huachipato;86;19;CHI;D (R), DM;Chilean First Division
14210;Matías Belmar;O'Higgins;87;20;CHI;ST (C);Chilean First Division
14211;Pedro Navarro;O'Higgins;88;22;CHI;D (LC);Chilean First Division
14212;Claudio Zamorano;Magallanes;98;24;CHI;DM, M (C);Chilean First Division
14213;Bruno Gutiérrez;Colo Colo;87;20;CHI;D (RC);Chilean First Division
14214;Ronald Guzmán;O'Higgins;87;21;CHI;D (L), DM, M (C);Chilean First Division
14215;Bastián Roco;U. Española;87;19;CHI;D (C);Chilean First Division
14216;Mauricio Morales;Univ. de Chile;87;23;CHI;DM, M (C);Chilean First Division
14217;Matías Ferrari;Colo Colo;87;23;CHI;D/WB (R);Chilean First Division
14218;Alejandro Azócar;Coquimbo;96;22;CHI;M/AM (L);Chilean First Division
14219;Rodrigo Cisterna;Ñublense;87;21;CHI;AM (C);Chilean First Division
14220;Felipe Massri;U. Española;86;21;CHI;M (C);Chilean First Division
14221;Diego Carreño;O'Higgins;86;21;CHI;GK;Chilean First Division
14222;Massami Gutiérrez;Audax;85;19;CHI;AM (RL);Chilean First Division
14223;Eitan Ramírez;D. Copiapó;85;20;CHI;ST (C);Chilean First Division
14224;Manuel Vicuña;Magallanes;86;23;CHI;AM (R);Chilean First Division
14225;Felipe Chamorro;Palestino;85;21;CHI;M/AM (C);Chilean First Division
14227;Levit Béjar;Coquimbo;85;19;CHI;D (R);Chilean First Division
14228;Matías Vásquez;Magallanes;93;20;CHI;D (RC);Chilean First Division
14229;Martín Araya;Palestino;85;18;CHI;AM (R), ST (C);Chilean First Division
14230;Alejandro Santander;Cobresal;85;20;CHI;GK;Chilean First Division
14231;Wilson Piñones;D. Copiapó;86;35;CHI;D/WB (L), DM, M (L);Chilean First Division
14232;Danilo Catalán;Magallanes;95;25;CHI;D (L), DM;Chilean First Division
14233;Rony Albornoz;Curicó Unido;85;20;CHI;DM, M (C);Chilean First Division
14234;Felipe Ortiz;Curicó Unido;85;21;CHI;AM (RLC);Chilean First Division
14235;Marlon Carrasco;Audax;85;20;CHI;D/M (R);Chilean First Division
14236;Diego Tapia;Ñublense;85;28;CHI;GK;Chilean First Division
14237;Ian Toro;Univ. Católica;85;20;CHI;M/AM (C);Chilean First Division
14238;David Tati;Colo Colo;84;21;CHI;D (R);Chilean First Division
14239;Benjamín Rojas;Palestino;84;22;CHI;D/WB (R);Chilean First Division
14240;Sebastián Parada;Curicó Unido;94;22;CHI;AM (RL), ST (C);Chilean First Division
14241;Felipe Villagrán;Everton;94;26;CHI;D (L), M (LC);Chilean First Division
14242;Nicolás Castillo;Univ. Católica;99;30;CHI;ST (C);Chilean First Division
14243;José Gatica;Univ. de Chile;83;22;CHI;AM (RL), ST (C);Chilean First Division
14244;Cristián Cuevas;Univ. Católica;113;28;CHI;D/WB/M (L);Chilean First Division
14245;Claudio Espinoza;U. Española;83;21;CHI;M/AM (C);Chilean First Division
14246;Rodrigo Díaz;Everton;83;21;CHI;M (C);Chilean First Division
14247;Bruno Jáuregui;U. Española;82;19;CHI;DM, M (C);Chilean First Division
14248;Abel Moreno;La Calera;83;21;CHI;DM, M (C);Chilean First Division
